"Номер","Дата измерения","TypeOfSample","Matrix","MatrixDescription","AnalysisProgram","AnalysisProgramDescription","AnalysisMode","TaskNumber","TaskName","MaterialName","ID1","ID2","ID3","ID4","ID5","ID6","Comment","Average"
"94563","25 янв. 2018 г., 4:41","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-230-2","5ХНМ","ТАБЛЕТКА","ЦЭМ","Коршунова С.А.","--","--","Z"
"94564","25 янв. 2018 г., 5:08","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-230-3","5ХНМ","ТАБЛЕТКА","ЦЭМ","Храмова Г.В.","--","--","Z"
"94565","25 янв. 2018 г., 5:35","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-230-4","5ХНМ","ТАБЛЕТКА","ЦЭМ","Храмова Г.В.","--","--","Z"
"94566","25 янв. 2018 г., 5:40","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-229-К","5ХНМ","УС.КОНУС","ЦЭМ","Храмова Г.В.","--","--","Z"
"94567","25 янв. 2018 г., 5:44","T","FE","--","FE 1","Steel, low/ mid alloyed","2","110","Типовая рекалиб. проба","--","УГ88","--","--","--","--","--","--","Z"
"94568","25 янв. 2018 г., 5:46","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-229-К","5ХНМ","УС.КОНУС","ЦЭМ ПРОВЕРКА","Храмова Г.В.","--","--","Z"
"94569","25 янв. 2018 г., 5:52","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-230-5","5ХНМ","ТАБЛЕТКА","ЦЭМ","Храмова Г.В.","--","--","Z"
"94570","25 янв. 2018 г., 6:26","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-231-1","5ХНМ","ТАБЛЕТКА","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94571","25 янв. 2018 г., 6:54","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-231-2","5ХНМ","ТАБЛЕТКА","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94572","25 янв. 2018 г., 7:30","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-231-3","5ХНМ","ТАБЛЕТКА","ЦЭМ","Коршунова С.А.","--","--","Z"
"94573","25 янв. 2018 г., 8:06","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-231-4","5ХНМ","ТАБЛЕТКА","ЦЭМ","Храмова Г.В.","--","--","Z"
"94574","25 янв. 2018 г., 8:09","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-230-К","5ХНМ","УС.КОНУС","ЦЭМ","Храмова Г.В.","--","--","Z"
"94575","25 янв. 2018 г., 8:23","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-231-5","5ХНМ","ТАБЛЕТКА","ЦЭМ","Храмова Г.В.","--","--","Z"
"94576","25 янв. 2018 г., 8:59","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-232-1","5ХНМ","ТАБЛЕТКА","ЦЭМ","Коршунова С.А.","--","--","Z"
"94577","25 янв. 2018 г., 9:20","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-232-2","5ХНМ","ТАБЛЕТКА","ЦЭМ","Коршунова С.А.","--","--","Z"
"94578","25 янв. 2018 г., 9:23","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-231-К","5ХНМ","УС.КОНУС","ЦЭМ","Коршунова С.А.","--","--","Z"
"94579","25 янв. 2018 г., 10:04","T","FE","--","FE 1","Steel, low/ mid alloyed","2","110","Типовая рекалиб. проба","--","РГ30 А","--","--","--","--","--","--","Z"
"94580","25 янв. 2018 г., 10:08","T","FE","--","FE 1","Steel, low/ mid alloyed","2","110","Типовая рекалиб. проба","--","УГ88","--","--","--","--","--","--","Z"
"94581","25 янв. 2018 г., 10:17","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-232-3","5ХНМ","ТАБЛЕТКА","ЦЭМ","Киргизова Е.А.","--","--","Z"
"94582","25 янв. 2018 г., 11:13","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-233-1","СП33","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94583","25 янв. 2018 г., 11:18","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-232-4","5ХНМ","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94584","25 янв. 2018 г., 11:34","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-233-2","СП33","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94585","25 янв. 2018 г., 11:39","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-232-5","5ХНМ","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94586","25 янв. 2018 г., 12:38","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-234-1","12Х2Н4А","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94587","25 янв. 2018 г., 12:41","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-233-3","СП33","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
"94588","25 янв. 2018 г., 13:13","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-233-4","СП33","ТАБЛЕТКА","ЦЭМ","Захарова А.Г.","--","--","Z"
